#N/A	Geneid	Fmr1_RPF_4	control_RPF_3	Fmr1_RNA_2	Fmr1_RPF_1	control_RPF_2	Fmr1_RPF_5	Fmr1_RPF_6	Fmr1_RNA_3	Fmr1_RNA_4	Fmr1_RPF_2	control_RNA_2	Fmr1_RNA_6	control_RPF_4	control_RNA_3	Fmr1_RPF_7	Fmr1_RNA_5	Fmr1_RNA_1	control_RNA_1	Fmr1_RPF_3	control_RPF_1			#SUBMITTED ID	SYMBOL
fidipidine	FBgn0025519	0	49	1551	72	40	51	14	1567	1980	34	1689	1582	17	1995	26	1862	1588	1980	39	0			FBgn0000552	Edg84A
csul	FBgn0015925	4	99	3486	158	97	123	52	3116	3825	86	3644	3206	76	4089	45	3484	3394	3725	93	0			FBgn0004778	Ccp84Af
Khc	FBgn0001308	7	1038	10704	1169	1232	873	537	10724	13598	651	11918	10710	658	14356	574	12465	11267	12837	781	1			FBgn0004779	Ccp84Ae
CG33017	FBgn0053017	0	0	13	2	0	0	1	22	10	2	5	13	0	2	0	11	9	7	0	0			FBgn0004780	Ccp84Ad
cato	FBgn0024249	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0			FBgn0004781	Ccp84Ac
prim	FBgn0034103	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0			FBgn0004782	Ccp84Ab
CG15705	FBgn0034104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0004783	Ccp84Aa
CG7755	FBgn0034105	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			FBgn0051481	pb
CG9068	FBgn0034106	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0			FBgn0004054	zen2
CG30324	FBgn0050324	0	0	0	1	1	0	0	1	0	0	2	1	0	0	0	1	1	2	0	0			FBgn0085326	CG34297
CG30099	FBgn0050099	0	0	6	0	0	0	0	5	2	0	2	0	1	3	0	3	3	1	0	0			FBgn0004053	zen
JhI-26	FBgn0028424	0	10	22	7	11	5	1	24	26	3	24	29	2	19	6	25	31	13	10	0			FBgn0000071	Ama
CG30100	FBgn0050100	0	21	0	22	28	12	11	0	0	24	0	0	4	0	9	0	0	0	36	0			FBgn0000439	Dfd
CG42372	FBgn0259718	0	40	0	93	73	74	18	0	0	54	0	0	31	0	26	0	0	0	73	0			FBgn0003339	Scr
CG7747	FBgn0034109	1	198	1445	146	103	141	74	1394	1643	97	1467	1317	86	1714	62	1633	1456	1540	162	2			FBgn0001077	ftz
Atg9	FBgn0034110	6	213	1764	249	213	228	94	1496	1741	135	1465	1589	160	1548	144	1597	1669	1499	134	2			FBgn0287588	CG46458
Nox	FBgn0085428	1	484	3499	364	415	344	111	2570	2010	321	1498	2716	243	1523	268	2397	2932	1415	210	0			FBgn0026563	CG1979
CG8060	FBgn0034113	0	24	1727	47	28	48	9	1616	1820	16	1417	1525	34	1790	12	1784	1704	1504	28	0			FBgn0019828	dj
CG30096	FBgn0050096	0	35	289	30	14	26	12	281	314	11	355	244	7	416	14	318	304	411	19	0			FBgn0037463	djl
CG4282	FBgn0034114	0	24	2613	36	29	21	9	2719	3152	28	3036	2598	19	3626	17	2944	2809	3303	12	0			FBgn0037464	Mst84B
0	FBgn0262511	5	621	14467	592	521	412	156	11565	11722	459	10235	12341	319	11174	281	11709	13060	10018	362	2			FBgn0040670	e(y)2b
Hmgs	FBgn0010611	1	250	5120	285	269	242	105	4496	5105	142	4608	4584	166	5065	140	4882	4976	4890	239	0			FBgn0051248	CG31248
CG7997	FBgn0034117	2	123	2422	224	168	217	79	2266	2323	134	2140	2017	114	2312	96	2243	2379	2229	168	1			FBgn0051493	CG31493
Nup62	FBgn0034118	0	266	4542	290	171	193	99	4730	5773	178	5196	4720	128	5950	92	5268	4771	5727	201	0			FBgn0037475	Fer1
wcd	FBgn0262560	1	188	2322	308	233	232	113	2166	2736	186	2258	2455	103	2563	127	2590	2376	2346	254	5			FBgn0037477	CG14610
CG15710	FBgn0034120	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0			FBgn0037483	CG14609
CG30098	FBgn0050098	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0250845	CG1288
CG6262	FBgn0034121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037485	CG14606
CG15711	FBgn0034122	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0			FBgn0037486	CG14605
CG43187	FBgn0262816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037487	thw
Sema2b	FBgn0264273	0	13	99	35	33	32	10	100	74	24	66	93	11	54	12	74	98	63	9	0			FBgn0037488	CG14607
Menl-1	FBgn0029154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0011282	Obp84a
Menl-2	FBgn0029153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0001112	Gld
jtb	FBgn0034126	0	28	210	51	22	27	7	187	183	28	367	146	36	376	12	151	217	369	40	0			FBgn0028400	Syt4
CG7848	FBgn0034127	0	0	3	0	0	1	0	0	1	0	1	0	0	0	0	2	3	4	0	0			FBgn0267337	rn
CG4409	FBgn0034128	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0			FBgn0045843	RacGAP84C
Parp16	FBgn0034129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0260713	CG42544
CheB53a	FBgn0261292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037498	CG10029
CheB53b	FBgn0261293	0	9	0	0	4	0	4	0	0	0	0	0	4	0	0	0	0	0	1	0			FBgn0265423	CG44335
CG15712	FBgn0034131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0051496	CG31496
CG33458	FBgn0053458	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0051501	nxf4
CG33459	FBgn0053459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0262982	CG43290
S-Lap8	FBgn0034132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1			FBgn0037500	CG17944
knon	FBgn0285943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0004175	Mst84Dd
Sema2a	FBgn0011260	4	500	12622	661	528	576	237	11796	14021	450	12495	12071	381	14673	327	13018	12790	12510	522	2			FBgn0004174	Mst84Dc
loopin-1	FBgn0259795	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0			FBgn0004173	Mst84Db
Syn2	FBgn0034135	0	0	13	0	0	0	0	3	3	0	2	8	0	4	0	6	4	1	0	0			FBgn0004172	Mst84Da
DAT	FBgn0034136	0	0	39	0	0	2	1	13	9	0	8	16	0	1	0	13	13	2	0	0			FBgn0015770	MstProx
CG4945	FBgn0034137	0	0	54	2	0	0	0	31	35	0	26	29	0	20	2	27	35	18	1	0			FBgn0261502	CG42650
RpS15	FBgn0034138	14	1675	67527	1959	1939	1392	537	53079	59008	1265	46491	56014	583	48767	973	55441	62074	47846	1444	8			FBgn0037501	Ir84a
CG4927	FBgn0034139	0	3	0	0	1	0	2	4	3	3	1	2	1	1	0	2	0	0	0	0			FBgn0037502	wa-cup
Lst	FBgn0034140	0	6	35	7	7	6	7	17	22	3	14	14	11	13	3	45	45	27	13	0			FBgn0037503	CG14598
Cdk4	FBgn0016131	0	99	2685	87	80	47	20	2173	2529	46	2328	2546	25	2538	43	2430	2530	2235	68	0			FBgn0261508	CG42656
RpLP2	FBgn0003274	57	1932	61606	1373	2374	805	403	50339	52417	843	39406	52782	752	41068	555	49389	57065	42748	1093	64			FBgn0017456	Ubc84D
CG8311	FBgn0034141	0	13	1939	39	26	23	2	1726	2210	17	1815	1682	18	2082	14	1959	1764	1872	11	0			FBgn0015574	alpha-Est6
CG8306	FBgn0034142	0	59	416	35	47	39	11	401	388	29	310	421	28	339	29	398	449	335	46	0			FBgn0015831	Rtnl2
CG8303	FBgn0034143	1	354	1275	225	319	181	63	815	749	152	761	851	134	598	125	660	1184	586	168	0			FBgn0015572	alpha-Est4
CG5089	FBgn0034144	0	0	21	0	0	0	0	14	19	0	19	18	0	11	0	9	14	9	0	0			FBgn0015571	alpha-Est3
CG5065	FBgn0034145	0	27	203	32	32	29	6	160	126	42	140	168	8	121	8	164	200	129	35	0			FBgn0267105	CG45545
Alk	FBgn0040505	0	1	5	0	2	0	0	8	1	2	1	2	0	2	0	5	5	0	1	0			FBgn0083963	Nlg3
gprs	FBgn0024232	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0			FBgn0037512	CG2616
Amyrel	FBgn0020506	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0			FBgn0262899	CG43254
Nach	FBgn0024319	0	13	4	1	2	3	0	1	1	2	1	4	0	0	1	0	1	5	0	0			FBgn0037514	CG10919
Picot	FBgn0024315	0	154	2261	173	138	139	47	2031	2056	146	1426	2111	92	1604	76	1880	2100	1523	102	1			FBgn0037516	CG11286
CG34457	FBgn0085486	0	8	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0			FBgn0042104	CG18747
CG34458	FBgn0085487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0042102	CG18745
Pgant9	FBgn0050463	1	69	3716	48	100	44	15	3146	3899	33	3652	3205	26	4554	20	3691	3495	3926	30	0			FBgn0042105	CG18748
Idgf6	FBgn0013763	11	700	9611	1592	785	964	547	8443	10333	829	9795	8777	514	10603	615	10233	9446	9782	1258	3			FBgn0042103	CG18746
Sfp53D	FBgn0259967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037517	CG10086
CG15617	FBgn0034151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0042101	CG18744
Acp53C14a	FBgn0034152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037519	CG3014
Acp53C14b	FBgn0034153	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0			FBgn0037521	CG2993
Acp53Ea	FBgn0015584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			FBgn0051473	CG31473
Acp53C14c	FBgn0053530	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0			FBgn0010401	Os-C
unc-104	FBgn0267002	0	47	2000	44	25	25	5	1665	1708	10	1433	1775	16	1607	14	1454	1776	1364	18	0			FBgn0259974	Sfp84E
CG34189	FBgn0085218	1	0	6	0	0	0	0	9	9	0	4	4	0	7	0	5	11	3	0	0			FBgn0040524	CG11052
CG5267	FBgn0034154	0	0	11	0	0	0	0	5	8	0	13	7	0	10	0	1	13	7	0	0			FBgn0001255	ImpE3
CG42392	FBgn0259738	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0			FBgn0262362	CG43060
CG5348	FBgn0034156	1	0	0	0	0	0	0	1	2	0	1	2	0	2	0	0	2	0	0	0			FBgn0263596	CG43618
Sod2	FBgn0010213	5	439	4191	636	474	429	208	3774	4948	370	4785	3809	286	5255	268	4325	4398	4834	525	7			FBgn0262363	CG43061
Arp53D	FBgn0011743	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0			FBgn0037546	mAChR-B
Vkor	FBgn0053544	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0			FBgn0001138	grn
resilin	FBgn0034157	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0			FBgn0261290	CheA84a
CG5522	FBgn0034158	5	44	5761	87	67	84	18	5404	6523	36	6499	5353	65	7756	44	6008	5586	7154	59	1			FBgn0064126	CG33722
CG15919	FBgn0040743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0042182	CG18749
CG15615	FBgn0034159	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0			FBgn0040528	CG15864
CG5550	FBgn0034160	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	2	1	2	0			FBgn0010433	ato
CG34459	FBgn0085488	0	0	2	0	0	0	0	3	1	0	1	1	0	2	0	1	2	1	0	0			FBgn0037562	Nazo
CG34460	FBgn0085489	0	0	4	2	0	0	0	4	2	0	1	1	0	2	0	3	8	1	0	0			FBgn0037563	CG11672
Ugt37C1	FBgn0026754	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0			FBgn0051464	CG31464
IntS8	FBgn0025830	0	111	1950	109	120	76	44	1704	2278	62	2169	1838	39	2484	22	1906	1903	2306	56	5			FBgn0051463	CG31463
Fen1	FBgn0025832	7	328	1857	356	332	326	152	1832	2418	164	2337	1768	182	2671	160	2227	1981	2392	281	1			FBgn0037570	CG11693
Dek	FBgn0026533	0	722	17273	1251	838	946	401	17864	21679	516	18448	16988	461	22895	522	21211	17199	20523	691	5			FBgn0037571	CG11694
Psi	FBgn0014870	4	328	5151	397	367	294	157	4863	5282	173	4325	4337	223	4858	139	4564	4956	4649	276	2			FBgn0037572	CG11698
eEF1beta	FBgn0028737	11	722	29879	945	725	509	278	26025	31124	686	24269	27514	404	25996	385	28677	29410	24824	769	5			FBgn0062412	Ctr1B
CG6426	FBgn0034162	0	6	7	8	8	8	6	5	5	4	15	10	1	11	2	21	20	9	11	0			FBgn0037576	Or85a
CG6421	FBgn0025827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037579	COX7AL
CG6429	FBgn0046999	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0			FBgn0037584	CG7963
CG6435	FBgn0034165	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037589	Obp85a
CG8910	FBgn0025833	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037590	Or85b
CG6472	FBgn0034166	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0			FBgn0037591	Or85c
inaC	FBgn0004784	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0051454	CG31454
Pkc53E	FBgn0003091	1	130	688	78	57	89	27	576	437	43	305	667	25	334	54	525	502	255	79	0			FBgn0051259	CG31259
CG43788	FBgn0264329	0	0	4	0	0	1	0	5	2	0	0	3	0	1	0	3	4	1	0	0			FBgn0040531	CG11741
CG43789	FBgn0264330	0	0	3	0	0	0	0	1	3	0	1	2	0	0	0	1	2	4	0	0			FBgn0037594	Or85d
CG15614	FBgn0034168	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0			FBgn0261929	5-HT2B
CG34190	FBgn0085219	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0			FBgn0026399	Or85e
Vha16-4	FBgn0262513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0			FBgn0259992	CG42489
mute	FBgn0085444	0	166	2779	170	150	149	77	2275	2529	85	3375	2276	112	4012	73	2234	2499	3188	88	0			FBgn0053325	CG33325
Ufm1	FBgn0085220	0	248	1845	249	198	159	60	1337	1586	181	1709	1494	108	1637	70	1579	1611	1670	210	0			FBgn0265158	CG44227
PIG-V	FBgn0265174	3	27	4062	43	22	21	7	3612	4439	24	3940	3665	13	4284	19	3954	3864	4087	32	0			FBgn0037612	CG8112
CG6665	FBgn0034172	0	157	976	129	114	126	41	1097	1322	81	1171	876	82	1343	73	1227	1135	1261	136	0			FBgn0037615	CG11760
CG9010	FBgn0034173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0			FBgn0037618	ouib
Cbp53E	FBgn0004580	0	0	6	2	2	4	0	9	10	0	2	5	0	1	0	15	9	5	0	0			FBgn0037625	CG11768
ste24c	FBgn0050462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0083971	CG34135
CG30461	FBgn0050461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037626	CG8236
ste24b	FBgn0034175	0	0	28	0	1	1	0	32	30	0	23	38	0	29	0	27	40	15	0	0			FBgn0037627	CG13318
ste24a	FBgn0034176	2	406	3945	548	428	437	226	3551	4460	371	4331	3632	239	4761	316	4088	3932	4422	448	0			FBgn0085330	CG34301
AsnRS-m	FBgn0034177	0	65	359	57	51	60	29	352	343	46	362	324	44	428	37	339	384	365	51	0			FBgn0261015	Pif1A
NiPp1	FBgn0026402	3	170	1684	196	150	166	71	1634	1854	112	2110	1532	125	2423	94	1816	1831	2276	148	0			FBgn0046874	Pif1B
CG6805	FBgn0034179	0	20	1064	28	22	21	3	1083	966	16	1524	894	11	1756	21	984	1123	1573	16	0			FBgn0053191	CG33191
Ehbp1	FBgn0034180	0	53	2981	78	54	64	31	2714	3002	30	2805	2678	22	3400	38	2766	2874	2940	42	0			FBgn0053189	CG33189
CG8963	FBgn0034181	9	840	11414	983	861	726	357	11224	12732	479	13288	10291	619	15465	421	11447	11626	14772	630	1			FBgn0037630	Ir85a
Dark	FBgn0263864	2	28	593	38	27	21	16	475	508	28	445	530	14	522	8	480	533	404	24	0			FBgn0037635	CG9837
RhoGEF2	FBgn0023172	4	448	11922	330	353	231	132	10045	11974	233	9541	10588	209	10850	170	9985	10760	8924	264	0			FBgn0286204	ich
CG43328	FBgn0263033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0051100	CG31100
CG43327	FBgn0263032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037650	CG11977
CG43371	FBgn0263114	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0			FBgn0037662	CG11997
SmydA-7	FBgn0034182	0	0	96	0	2	0	0	41	42	0	55	59	0	38	0	52	62	29	0	0			FBgn0037665	St2
SmydA-6	FBgn0034183	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0			FBgn0037668	CG16736
CG9646	FBgn0034184	0	47	3337	45	46	22	13	3432	3733	25	3368	3317	38	3999	21	3828	3505	3876	28	0			FBgn0037672	sage
fat-spondin	FBgn0026721	0	19	29	15	12	7	3	22	12	2	13	13	0	14	1	32	24	9	0	0			FBgn0037676	CG8861
tef	FBgn0086350	0	30	4012	66	25	50	34	4019	4532	40	5414	3729	26	6516	17	4404	4404	5550	43	0			FBgn0037675	HP1e
CG8950	FBgn0034186	0	162	844	113	137	97	31	857	1117	50	1129	885	84	1290	67	965	876	1136	96	0			FBgn0037677	CG12951
Mov10	FBgn0034187	1	185	9145	281	211	243	99	9303	11638	131	10207	8360	168	12952	118	10447	9339	11080	161	1			FBgn0037678	CG16749
CG30460	FBgn0050460	0	58	502	62	67	49	12	367	289	39	202	377	33	200	17	270	471	150	53	0			FBgn0263750	CG43675
Sply	FBgn0010591	2	282	4550	480	362	342	172	4393	5618	239	4642	4410	199	5250	157	5147	4760	5027	381	0			FBgn0037683	CG18473
CG6984	FBgn0034191	1	116	1117	120	104	96	37	911	992	54	1009	1043	54	1055	51	1056	1051	991	97	0			FBgn0037684	Srr
GstS1	FBgn0010226	0	182	7282	299	230	138	41	6654	8223	176	7221	6489	118	8252	92	7242	7170	7444	230	5			FBgn0037685	Or85f
0	FBgn0050456	2	74	754	121	94	98	35	600	445	69	376	660	40	364	44	476	699	339	102	0			FBgn0037689	CG8135
CG15611	FBgn0034194	0	89	866	82	65	65	13	649	462	38	248	681	32	235	24	544	678	209	51	1			FBgn0260237	BBIP1
Amy-p	FBgn0000079	0	0	2	0	2	0	0	2	2	0	1	2	0	1	0	1	3	1	0	0			FBgn0265201	CG44261
Spn53F	FBgn0034195	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0003889	betaTub85D
Amy-d	FBgn0000078	0	0	2	2	2	0	0	0	1	0	0	1	0	0	0	4	3	2	0	0			FBgn0037690	Task7
CG15605	FBgn0034196	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037697	GstZ2
Cda9	FBgn0034197	0	0	4	0	0	0	1	1	1	0	0	3	0	1	0	0	1	0	0	0			FBgn0037698	CG16779
CG45273	FBgn0266811	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0			FBgn0043791	phu
Acp54A1	FBgn0083936	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0			FBgn0037712	CG16789
CG11400	FBgn0034198	0	5	168	16	19	14	7	105	99	5	42	132	4	42	7	132	114	44	10	0			FBgn0037714	CG9396
Gbp1	FBgn0034199	0	2	78	6	17	5	0	55	52	5	14	64	7	25	2	55	53	23	1	0			FBgn0037717	CG8301
Gbp2	FBgn0034200	0	6	100	13	13	13	12	82	45	4	33	47	10	23	13	96	115	36	14	0			FBgn0053654	CG33654
CG43103	FBgn0262563	1	53	142	77	80	64	15	99	109	65	55	123	52	38	46	123	123	58	59	0			FBgn0037721	CG9427
CG43107	FBgn0262567	0	7	7	11	13	5	1	6	6	9	11	8	7	4	11	18	7	9	2	0			FBgn0012344	Dh44
CG17290	FBgn0034201	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	2	0	0			FBgn0037724	Fst
CG17287	FBgn0034202	0	0	0	2	7	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0			FBgn0037726	
CG30458	FBgn0050458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037727	Nepl12
CG30457	FBgn0050457	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037730	CG9444
CG10953	FBgn0034204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037731	CG18542
CG44388	FBgn0265538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0260463	Unc-115b
CG10950	FBgn0034205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0			FBgn0053105	p24-2
CG43237	FBgn0262882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0052939	CG32939
mbl	FBgn0265487	0	41	966	33	23	26	6	669	611	32	472	755	30	514	23	614	906	387	28	0			FBgn0262477	FoxP
CG18469	FBgn0034206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0003886	alphaTub85E
CG12699	FBgn0046294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037736	side-VII
CG43272	FBgn0262961	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0085438	CG34409
CG43108	FBgn0262568	0	0	2	0	0	0	0	2	2	0	0	1	0	1	0	1	1	0	0	0			FBgn0051415	CG31415
CG10939	FBgn0010620	2	754	6207	629	797	694	230	5062	4909	479	3962	5741	435	4380	353	5387	5382	4204	511	0			FBgn0037750	Whamy
Camp	FBgn0034210	0	106	1929	99	65	59	21	1945	2351	46	2254	2073	52	2629	29	2356	2107	2376	81	2			FBgn0037751	topi
Vajk4	FBgn0050101	0	0	46	1	4	0	0	18	16	4	16	34	0	15	0	28	26	9	0	0			FBgn0037754	CG8500
Prosalpha5	FBgn0016697	14	1133	8055	1868	1259	1285	602	8286	10323	1051	9786	8201	813	10827	674	9986	8936	10517	1279	10			FBgn0037761	CG8534
cnk	FBgn0286070	0	46	6373	67	67	48	11	5955	7458	35	6526	5821	39	7222	36	6018	5903	6462	47	0			FBgn0037764	CG9459
l(2)k01209	FBgn0022029	1	142	6022	241	199	211	66	5161	5865	143	4839	5366	119	5442	119	5383	5937	4936	180	0			FBgn0037765	CG9458
CG6550	FBgn0034214	0	74	1291	100	81	70	31	1105	1253	40	1074	1204	36	1180	57	1312	1247	963	45	0			FBgn0262104	CG42857
Mtap	FBgn0034215	1	114	3218	210	105	107	42	3270	3768	112	3345	3363	62	3969	94	3382	3421	3742	192	1			FBgn0085331	CG34302
Bap55	FBgn0025716	1	347	3404	678	407	491	211	3626	4680	307	4070	3519	274	4826	247	4312	3847	4470	439	1			FBgn0037766	Teh1
Lhr	FBgn0034217	0	32	486	20	16	26	21	529	591	19	595	563	13	659	20	557	538	617	24	0			FBgn0287598	CG46467
EDTP	FBgn0027506	0	131	8411	216	165	164	103	7777	9623	147	8703	7828	104	10445	97	8503	8138	9245	138	1			FBgn0045473	Gr85a
CG18467	FBgn0034218	0	0	5	0	0	0	0	7	5	0	3	3	0	4	0	1	4	6	0	0			FBgn0037772	Spn85F
mthl4	FBgn0034219	0	0	271	11	5	5	0	204	185	2	147	239	3	139	2	224	235	131	11	0			FBgn0051407	CG31407
mthl3	FBgn0028956	0	17	666	43	8	44	18	561	511	24	357	540	26	333	16	473	605	334	41	0			FBgn0051410	Npc2e
CG10764	FBgn0034221	0	0	10	0	3	1	0	5	3	0	1	2	0	3	0	4	3	0	0	0			FBgn0037782	Npc2d
robls54B	FBgn0263233	0	0	8	0	0	0	0	1	3	0	6	0	0	3	0	2	6	6	0	0			FBgn0037783	Npc2c
robl	FBgn0024196	0	144	2209	183	153	138	38	1854	2125	73	2293	2170	77	2225	65	2341	2198	2305	130	0			FBgn0053630	CG33630
CG14478	FBgn0028953	0	162	8789	163	150	125	49	7708	9503	116	8589	8035	95	10078	98	8256	8110	8774	144	0			FBgn0053631	CG33631
Tes	FBgn0034223	0	110	2305	131	102	78	33	2025	2496	100	2312	2053	63	2650	65	2101	2262	2330	76	1			FBgn0053783	CG33783
qkr54B	FBgn0022987	0	109	4014	156	104	123	53	3798	4896	72	4485	3984	51	5045	54	4402	4137	4804	76	0			FBgn0053784	CG33784
insb	FBgn0034224	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0			FBgn0041105	nerfin-2
CG43110	FBgn0262570	0	0	108	5	1	1	0	53	61	0	41	86	0	37	1	66	91	35	0	0			FBgn0037786	Alp13
veil	FBgn0034225	0	96	0	90	112	67	15	0	0	62	0	0	41	0	36	0	0	0	64	0			FBgn0266721	gammaSnap2
NT5E-2	FBgn0050104	2	55	496	65	53	76	17	369	353	26	202	496	30	176	56	398	393	169	45	0			FBgn0001321	knk
CG30103	FBgn0050103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			FBgn0261817	CG42759
nw	FBgn0283508	0	0	4	0	0	1	0	2	1	1	2	0	2	2	0	5	3	1	0	0			FBgn0085332	CG34303
CG34193	FBgn0085222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0004575	Syn
CG4847	FBgn0034229	0	3	3	1	3	1	2	3	2	1	1	1	0	3	0	13	13	4	0	0			FBgn0037797	CG12420
CG4853	FBgn0034230	0	39	2790	41	26	27	8	2478	2884	32	2728	2638	21	3156	13	2777	2698	2869	16	0			FBgn0037798	CG12817
APC10	FBgn0034231	1	18	644	64	45	50	22	567	690	42	720	604	20	786	13	601	600	735	49	0			FBgn0083943	CG34107
CG4866	FBgn0034232	2	247	1583	403	258	315	108	1474	1754	176	1520	1423	109	1652	129	1619	1600	1575	262	0			FBgn0261928	CG42795
Patronin	FBgn0263197	2	182	5071	182	172	142	69	4323	5137	109	4612	4595	64	5041	80	4399	4711	4424	113	8			FBgn0037801	CG3999
